Order City,Customer City,Order Country,Customer Country,Days for shipping (real),Sales per customer,Order Item Total,Shipping Mode,Delivery Status
Montevideo,Caguas,Uruguay,Puerto Rico,5,240.0,240.0,Standard Class,Late delivery
Buenos Aires,Caguas,Argentina,Puerto Rico,6,189.9499969,189.9499969,Standard Class,Late delivery
São Paulo,Caguas,Brasil,Puerto Rico,4,188.9499969,188.9499969,Standard Class,Shipping on time
Barueri,Caguas,Brasil,Puerto Rico,2,236.25,236.25,Standard Class,Advance shipping
Arapongas,Caguas,Brasil,Puerto Rico,6,236.25,236.25,Standard Class,Late delivery
Camagüey,Caguas,Cuba,Puerto Rico,2,136.5,136.5,Standard Class,Advance shipping
Las Tunas,Caguas,Cuba,Puerto Rico,3,181.9499969,181.9499969,Standard Class,Advance shipping
Santo Domingo,Caguas,República Dominicana,Puerto Rico,5,225.0,225.0,Standard Class,Late delivery
Tepic,Caguas,México,Puerto Rico,4,225.0,225.0,Standard Class,Shipping on time
San Miguelito,Guayama,Panamá,Puerto Rico,3,173.9600067,173.9600067,Standard Class,Advance shipping
Ixtapaluca,Caguas,México,Puerto Rico,3,217.5,217.5,Standard Class,Advance shipping
Maceió,Caguas,Brasil,Puerto Rico,3,217.5,217.5,Standard Class,Advance shipping
David,Caguas,Panamá,Puerto Rico,4,169.9600067,169.9600067,Standard Class,Shipping on time
Belo Horizonte,Caguas,Brasil,Puerto Rico,2,212.5,212.5,Standard Class,Advance shipping
Santiago de Cuba,Caguas,Cuba,Puerto Rico,4,167.9600067,167.9600067,Standard Class,Shipping on time
San Pedro Sula,Caguas,Honduras,Puerto Rico,5,207.5,207.5,Standard Class,Late delivery
Lima,Caguas,Perú,Puerto Rico,6,207.5,207.5,Standard Class,Late delivery
Holguín,Caguas,Cuba,Puerto Rico,4,200.0,200.0,Standard Class,Shipping on time
Orizaba,Caguas,México,Puerto Rico,5,200.0,200.0,Standard Class,Late delivery
Managua,Caguas,Nicaragua,Puerto Rico,4,149.9600067,149.9600067,Standard Class,Shipping on time
Villahermosa,Juana Diaz,México,Puerto Rico,3,187.5,187.5,Standard Class,Advance shipping
Buenos Aires,Caguas,Argentina,Puerto Rico,6,187.5,187.5,Standard Class,Late delivery
Quixadá,Caguas,Brasil,Puerto Rico,3,187.5,187.5,Standard Class,Advance shipping
Mejicanos,Caguas,El Salvador,Puerto Rico,5,237.5500031,237.5500031,Standard Class,Late delivery
Tepic,Caguas,México,Puerto Rico,4,153.5500031,153.5500031,Standard Class,Shipping on time
Mixco,Guayama,Guatemala,Puerto Rico,6,395.9599915,395.9599915,Standard Class,Late delivery
Nueva Gerona,Caguas,Cuba,Puerto Rico,4,124.4599991,124.4599991,Standard Class,Shipping on time
Buenos Aires,Caguas,Argentina,Puerto Rico,2,284.9500122,284.9500122,Standard Class,Advance shipping
Chimaltenango,Caguas,Guatemala,Puerto Rico,5,499.9500122,499.9500122,Standard Class,Late delivery
Villa Nueva,Caguas,Guatemala,Puerto Rico,4,494.9500122,494.9500122,Standard Class,Shipping on time
Quito,Caguas,Ecuador,Puerto Rico,5,484.9500122,484.9500122,Standard Class,Late delivery
Managua,Caguas,Nicaragua,Puerto Rico,2,479.9500122,479.9500122,Standard Class,Advance shipping
Valle de La Pascua,Caguas,Venezuela,Puerto Rico,5,479.9500122,479.9500122,Standard Class,Late delivery
San Miguelito,Caguas,Panamá,Puerto Rico,4,474.9500122,474.9500122,Standard Class,Shipping on time
San Miguelito,Caguas,Panamá,Puerto Rico,6,474.9500122,474.9500122,Standard Class,Late delivery
Petapa,Caguas,Guatemala,Puerto Rico,6,449.9599915,449.9599915,Standard Class,Late delivery
Cotia,Caguas,Brasil,Puerto Rico,2,449.9599915,449.9599915,Standard Class,Advance shipping
Itapecuru Mirim,Caguas,Brasil,Puerto Rico,3,337.4599915,337.4599915,Standard Class,Advance shipping
León,Caguas,Nicaragua,Puerto Rico,2,299.9500122,299.9500122,Standard Class,Advance shipping
Tlalpan,Caguas,México,Puerto Rico,2,296.9500122,296.9500122,Standard Class,Advance shipping
Apopa,Caguas,El Salvador,Puerto Rico,6,296.9500122,296.9500122,Standard Class,Late delivery
Cipolletti,Caguas,Argentina,Puerto Rico,3,293.9500122,293.9500122,Standard Class,Advance shipping
Mejicanos,Caguas,El Salvador,Puerto Rico,5,290.9500122,290.9500122,Standard Class,Late delivery
La Ceiba,Caguas,Honduras,Puerto Rico,5,287.9500122,287.9500122,Standard Class,Late delivery
Córdoba,Caguas,México,Puerto Rico,5,283.4500122,283.4500122,Standard Class,Late delivery
Kuito,Caguas,Angola,Puerto Rico,6,86.98999786,86.98999786,Second Class,Late delivery
Jartum,Caguas,Sudán,Puerto Rico,6,127.3899994,127.3899994,Second Class,Late delivery
Hargeysa,Caguas,Somalia,Puerto Rico,3,118.2900009,118.2900009,Second Class,Late delivery
Kenitra,Caguas,Marruecos,Puerto Rico,5,116.9899979,116.9899979,Second Class,Late delivery
Jartum,Caguas,Sudán,Puerto Rico,6,49.18999863,49.18999863,Second Class,Late delivery
Abidjan,Caguas,Costa de Marfil,Puerto Rico,4,103.9899979,103.9899979,Second Class,Late delivery
Abu Kabir,Caguas,Egipto,Puerto Rico,4,296.980011,296.980011,Second Class,Late delivery
Kenitra,Caguas,Marruecos,Puerto Rico,5,293.980011,293.980011,Second Class,Late delivery
Perugia,Caguas,Italia,Puerto Rico,3,252.8800049,252.8800049,Second Class,Late delivery
Nuremberg,Caguas,Alemania,Puerto Rico,4,447.519989,447.519989,Second Class,Late delivery
Reims,Caguas,Francia,Puerto Rico,3,250.3500061,250.3500061,Second Class,Late delivery
Halle,Caguas,Alemania,Puerto Rico,6,443.0,443.0,Second Class,Late delivery
Bremerhaven,Caguas,Alemania,Puerto Rico,3,245.2899933,245.2899933,Second Class,Late delivery
Portici,Caguas,Italia,Puerto Rico,6,433.9599915,433.9599915,Second Class,Late delivery
Bielefeld,Caguas,Alemania,Puerto Rico,6,240.2400055,240.2400055,Second Class,Late delivery
London,Caguas,Reino Unido,Puerto Rico,5,1417.5,1417.5,Second Class,Late delivery
Drancy,Caguas,Francia,Puerto Rico,2,427.1799927,427.1799927,Second Class,Shipping on time
Duisburg,Caguas,Alemania,Puerto Rico,3,427.1799927,427.1799927,Second Class,Late delivery
Bradford,Caguas,Reino Unido,Puerto Rico,5,1395.0,1395.0,Second Class,Late delivery
Agrigento,Caguas,Italia,Puerto Rico,4,420.3999939,420.3999939,Second Class,Late delivery
Oldham,Caguas,Reino Unido,Puerto Rico,2,230.1199951,230.1199951,Second Class,Shipping on time
Palermo,Caguas,Italia,Puerto Rico,4,411.3599854,411.3599854,Second Class,Late delivery
Madrid,Caguas,España,Puerto Rico,4,230.1199951,230.1199951,Second Class,Late delivery
Nancy,Caguas,Francia,Puerto Rico,5,1365.0,1365.0,Second Class,Late delivery
Girona,Caguas,España,Puerto Rico,2,406.8399963,406.8399963,Second Class,Shipping on time
Laon,Caguas,Francia,Puerto Rico,6,227.5899963,227.5899963,Second Class,Late delivery
Hartlepool,Caguas,Reino Unido,Puerto Rico,4,384.230011,384.230011,Second Class,Late delivery
Pontault-Combault,Caguas,Francia,Puerto Rico,3,214.9499969,214.9499969,Second Class,Late delivery
La Rochelle,Caguas,Francia,Puerto Rico,3,379.7099915,379.7099915,Second Class,Late delivery
Edinburgh,Caguas,Reino Unido,Puerto Rico,6,209.8899994,209.8899994,Second Class,Late delivery
Acerra,Caguas,Italia,Puerto Rico,5,209.8899994,209.8899994,Second Class,Late delivery
Hanover,Caguas,Alemania,Puerto Rico,5,209.8899994,209.8899994,Second Class,Late delivery
Manchester,Caguas,Reino Unido,Puerto Rico,4,370.6700134,370.6700134,Second Class,Late delivery
Messina,Caguas,Italia,Puerto Rico,3,370.6700134,370.6700134,Second Class,Late delivery
Wilhelmshaven,Caguas,Alemania,Puerto Rico,6,207.3600006,207.3600006,Second Class,Late delivery
Letchworth,Caguas,Reino Unido,Puerto Rico,5,1200.0,1200.0,Second Class,Late delivery
Kilwinning,Caguas,Reino Unido,Puerto Rico,2,339.0299988,339.0299988,Second Class,Shipping on time
Villeneuve-le-Roi,Caguas,Francia,Puerto Rico,5,989.9899902,989.9899902,Second Class,Late delivery
Barakaldo,Caguas,España,Puerto Rico,5,78.38999939,78.38999939,Second Class,Late delivery
Estocolmo,Caguas,Suecia,Puerto Rico,6,52.18999863,52.18999863,Second Class,Late delivery
Aylesbury,Caguas,Reino Unido,Puerto Rico,4,43.18999863,43.18999863,Second Class,Late delivery
Langenhagen,Caguas,Alemania,Puerto Rico,5,95.98999786,95.98999786,Second Class,Late delivery
Birmingham,Caguas,Reino Unido,Puerto Rico,4,94.98999786,94.98999786,Second Class,Late delivery
Amsterdam,Caguas,Países Bajos,Puerto Rico,4,41.84000015,41.84000015,Second Class,Late delivery
Viena,Caguas,Austria,Puerto Rico,5,89.98999786,89.98999786,Second Class,Late delivery
Viena,Caguas,Austria,Puerto Rico,5,87.98999786,87.98999786,Second Class,Late delivery
Houston,Freeport,Estados Unidos,EE. UU.,5,128.2200012,128.2200012,Standard Class,Shipping canceled
Gilbert,Fort Washington,Estados Unidos,EE. UU.,5,278.9700012,278.9700012,Standard Class,Shipping canceled
San Jose,Bakersfield,Estados Unidos,EE. UU.,6,272.9700012,272.9700012,Standard Class,Shipping canceled
Gilbert,Fort Washington,Estados Unidos,EE. UU.,5,272.9700012,272.9700012,Standard Class,Shipping canceled
Fresno,Corona,Estados Unidos,EE. UU.,2,170.9700012,170.9700012,Standard Class,Shipping canceled
Peoria,Cincinnati,Estados Unidos,EE. UU.,3,167.3699951,167.3699951,Standard Class,Shipping canceled
Cincinnati,Germantown,Estados Unidos,EE. UU.,3,158.3699951,158.3699951,Standard Class,Shipping canceled
Columbus,Carrollton,Estados Unidos,EE. UU.,2,118.7699966,118.7699966,Standard Class,Shipping canceled
Cincinnati,Germantown,Estados Unidos,EE. UU.,3,73.5,73.5,Standard Class,Shipping canceled
Ottawa,Houston,Canada,EE. UU.,6,132.0,132.0,Standard Class,Shipping canceled
Houston,Freeport,Estados Unidos,EE. UU.,5,132.0,132.0,Standard Class,Shipping canceled
Ottawa,Houston,Canada,EE. UU.,6,130.5,130.5,Standard Class,Shipping canceled
Kitchener,Carlisle,Canada,EE. UU.,4,99.58000183,99.58000183,Standard Class,Shipping canceled
Philadelphia,Los Angeles,Estados Unidos,EE. UU.,2,99.58000183,99.58000183,Standard Class,Shipping canceled
Des Plaines,Ewa Beach,Estados Unidos,EE. UU.,4,74.22000122,74.22000122,Standard Class,Shipping canceled
Elmhurst,Lakewood,Estados Unidos,EE. UU.,6,40.29000092,40.29000092,Standard Class,Shipping canceled
Antananarivo,Rome,Madagascar,EE. UU.,2,227.9600067,227.9600067,Standard Class,Shipping canceled
Algiers,Vista,Argelia,EE. UU.,6,203.9700012,203.9700012,Standard Class,Shipping canceled
Monrovia,Fort Worth,Liberia,EE. UU.,4,200.0,200.0,Standard Class,Shipping canceled
Monrovia,Fort Worth,Liberia,EE. UU.,4,156.7599945,156.7599945,Standard Class,Shipping canceled
Jartum,Fond Du Lac,Sudán,EE. UU.,5,189.0,189.0,Standard Class,Shipping canceled
Gagnoa,Philadelphia,Costa de Marfil,EE. UU.,2,79.97000122,79.97000122,Standard Class,Shipping canceled
Livingstone,Ontario,Zambia,EE. UU.,2,363.9599915,363.9599915,Standard Class,Advance shipping
Fes,Oviedo,Marruecos,EE. UU.,4,239.9600067,239.9600067,Standard Class,Shipping on time
Cairo,Buffalo,Egipto,EE. UU.,5,230.3600006,230.3600006,Standard Class,Late delivery
Dakar,Honolulu,Senegal,EE. UU.,5,227.9600067,227.9600067,Standard Class,Late delivery
Hurghada,Oceanside,Egipto,EE. UU.,2,226.7599945,226.7599945,Standard Class,Advance shipping
Kenitra,North Tonawanda,Marruecos,EE. UU.,5,208.7700043,208.7700043,Standard Class,Late delivery
Abidjan,Clovis,Costa de Marfil,EE. UU.,6,200.0,200.0,Standard Class,Late delivery
Hurghada,Jamaica,Egipto,EE. UU.,5,198.0,198.0,Standard Class,Late delivery
Niamey,Granite City,Níger,EE. UU.,4,155.1600037,155.1600037,Standard Class,Shipping on time
Sale,Medford,Marruecos,EE. UU.,5,151.1600037,151.1600037,Standard Class,Late delivery
Pretoria,Pomona,SudAfrica,EE. UU.,3,111.5999985,111.5999985,Standard Class,Advance shipping
Marrakech,Tempe,Marruecos,EE. UU.,4,170.0,170.0,Standard Class,Shipping on time
Bur Sudan,Santa Ana,Sudán,EE. UU.,2,160.0,160.0,Standard Class,Advance shipping
Lagos,York,Nigeria,EE. UU.,5,150.0,150.0,Standard Class,Late delivery
Lagos,Aurora,Nigeria,EE. UU.,4,94.45999908,94.45999908,Standard Class,Shipping on time
Quelimane,Simi Valley,Mozambique,EE. UU.,5,395.9599915,395.9599915,Standard Class,Late delivery
Port Elizabeth,Silver Spring,SudAfrica,EE. UU.,5,391.9599915,391.9599915,Standard Class,Late delivery
Shinyanga,Saint Paul,Tanzania,EE. UU.,3,379.9599915,379.9599915,Standard Class,Advance shipping
Kismaayo,San Antonio,Somalia,EE. UU.,3,363.9599915,363.9599915,Standard Class,Advance shipping
Butare,Philadelphia,Ruanda,EE. UU.,5,359.9599915,359.9599915,Standard Class,Late delivery
Butare,Philadelphia,Ruanda,EE. UU.,5,351.9599915,351.9599915,Standard Class,Late delivery
Cairo,Philadelphia,Egipto,EE. UU.,2,351.9599915,351.9599915,Standard Class,Advance shipping
Newcastle,Bronx,SudAfrica,EE. UU.,4,339.9700012,339.9700012,Standard Class,Shipping on time
Estambul,Greenville,Turquía,EE. UU.,2,124.7900009,124.7900009,Standard Class,Advance shipping
Jerusalén,Morristown,Israel,EE. UU.,2,124.7900009,124.7900009,Standard Class,Advance shipping
Gold Coast,San Diego,Australia,EE. UU.,4,56.99000168,56.99000168,Standard Class,Shipping on time
Newcastle,Oxnard,Australia,EE. UU.,3,123.4899979,123.4899979,Standard Class,Advance shipping
Porirua,Miami,Nueva Zelanda,EE. UU.,2,123.4899979,123.4899979,Standard Class,Advance shipping
Mildura,Albuquerque,Australia,EE. UU.,5,123.4899979,123.4899979,Standard Class,Late delivery
Brisbane,Amarillo,Australia,EE. UU.,6,205.0299988,205.0299988,Standard Class,Late delivery
Daca,Lutz,Bangladés,EE. UU.,4,123.4899979,123.4899979,Standard Class,Shipping on time
Kanpur,Bend,India,EE. UU.,2,123.4899979,123.4899979,Standard Class,Advance shipping
Bangkok,East Brunswick,Tailandia,EE. UU.,5,123.4899979,123.4899979,Standard Class,Late delivery
Bangkok,Lancaster,Tailandia,EE. UU.,6,123.4899979,123.4899979,Standard Class,Late delivery
Bagdad,Ontario,Irak,EE. UU.,4,56.99000168,56.99000168,Standard Class,Shipping on time
Jerusalén,Morristown,Israel,EE. UU.,2,123.4899979,123.4899979,Standard Class,Advance shipping
Adana,Houston,Turquía,EE. UU.,4,123.4899979,123.4899979,Standard Class,Shipping on time
Riyadh,Hampton,Arabia Saudí,EE. UU.,4,123.4899979,123.4899979,Standard Class,Shipping on time
Shenzhen,New York,China,EE. UU.,2,436.1000061,436.1000061,Standard Class,Advance shipping
Tianjin,Porterville,China,EE. UU.,4,122.8399963,122.8399963,Standard Class,Shipping on time
Perth,Portland,Australia,EE. UU.,3,56.68999863,56.68999863,Standard Class,Advance shipping
Dunedin,Strongsville,Nueva Zelanda,EE. UU.,2,122.8399963,122.8399963,Standard Class,Advance shipping
Melbourne,El Paso,Australia,EE. UU.,4,122.8399963,122.8399963,Standard Class,Shipping on time
Ulhasnagar,Del Rio,India,EE. UU.,5,122.8399963,122.8399963,Standard Class,Late delivery
Manila,Buffalo,Filipinas,EE. UU.,6,122.8399963,122.8399963,Standard Class,Late delivery
Adana,Houston,Turquía,EE. UU.,4,122.8399963,122.8399963,Standard Class,Shipping on time
Mersin,Bountiful,Turquía,EE. UU.,4,122.8399963,122.8399963,Standard Class,Shipping on time
Riyadh,Hampton,Arabia Saudí,EE. UU.,4,122.8399963,122.8399963,Standard Class,Shipping on time
Temirtau,Kent,Kazajistán,EE. UU.,5,120.8899994,120.8899994,Standard Class,Late delivery
Tengzhou,Chicago,China,EE. UU.,3,120.8899994,120.8899994,Standard Class,Advance shipping
Nantong,Plymouth,China,EE. UU.,3,120.8899994,120.8899994,Standard Class,Advance shipping
Dalian,Far Rockaway,China,EE. UU.,4,120.8899994,120.8899994,Standard Class,Shipping on time
Lianyuan,Houston,China,EE. UU.,4,200.7100067,200.7100067,Standard Class,Shipping on time
Caloundra,Philadelphia,Australia,EE. UU.,6,55.79000092,55.79000092,Standard Class,Late delivery
Melbourne,Simi Valley,Australia,EE. UU.,3,120.8899994,120.8899994,Standard Class,Advance shipping
Bendigo,Detroit,Australia,EE. UU.,4,120.8899994,120.8899994,Standard Class,Shipping on time
Adelaide,Garden Grove,Australia,EE. UU.,2,200.7100067,200.7100067,Standard Class,Advance shipping
Ajmer,San Diego,India,EE. UU.,4,120.8899994,120.8899994,Standard Class,Shipping on time
Kerman,Chicago,Irán,EE. UU.,5,120.8899994,120.8899994,Standard Class,Late delivery
Vadodara,Placentia,India,EE. UU.,5,200.7100067,200.7100067,Standard Class,Late delivery
Semarang,San Jose,Indonesia,EE. UU.,4,429.1799927,429.1799927,Standard Class,Shipping on time
Cirebon,Honolulu,Indonesia,EE. UU.,2,120.8899994,120.8899994,Standard Class,Advance shipping
Rangún,Mentor,Myanmar (Birmania),EE. UU.,3,200.7100067,200.7100067,Standard Class,Advance shipping
Kütahya,Santa Clara,Turquía,EE. UU.,4,120.8899994,120.8899994,Standard Class,Shipping on time
Bagdad,Union,Irak,EE. UU.,5,120.8899994,120.8899994,Standard Class,Late delivery
Namangán,Long Beach,Uzbekistán,EE. UU.,2,118.2900009,118.2900009,Standard Class,Advance shipping
Xinzhou,Westminster,China,EE. UU.,2,54.59000015,54.59000015,Standard Class,Advance shipping
Mudanjiang,Pompano Beach,China,EE. UU.,4,191.8699951,191.8699951,Standard Class,Shipping on time
Lokossa,Azusa,Benín,EE. UU.,4,225.0,225.0,Standard Class,Shipping on time
Ikot Ekpene,Fort Lauderdale,Nigeria,EE. UU.,2,220.0,220.0,Standard Class,Advance shipping
Warri,San Antonio,Nigeria,EE. UU.,3,173.9600067,173.9600067,Standard Class,Advance shipping
Bandundu,Princeton,República Democrática del Congo,EE. UU.,4,169.9600067,169.9600067,Standard Class,Shipping on time
Lagos,Perth Amboy,Nigeria,EE. UU.,6,210.0,210.0,Standard Class,Late delivery
Foumban,Miami,Camerún,EE. UU.,4,207.5,207.5,Standard Class,Shipping on time
Luanda,Loveland,Angola,EE. UU.,5,207.5,207.5,Standard Class,Late delivery
Maiduguri,Virginia Beach,Nigeria,EE. UU.,3,207.5,207.5,Standard Class,Advance shipping
Nairobi,Louisville,Kenia,EE. UU.,3,205.0,205.0,Standard Class,Advance shipping
Kitwe,Lockport,Zambia,EE. UU.,6,205.0,205.0,Standard Class,Late delivery
